Site_ID,Machines_Per_Room,Current_Technology_Type,Revenue_Per_Machine_Last_12_Months,Digital_Payment_Percentage,Parent_Tier,Child_Tier,Setup_Configuration,Materials_Required,Rollout_Cost
Site_1,43,Type_C,8196.57056,9.710500481,Mid-Market,Bronze,Compact,1,2836.431386
Site_2,33,Type_B,5467.011243,14.77361256,Small Business,Bronze,Premium,8,1554.665408
Site_3,19,Type_B,14775.00238,33.21953168,Small Business,Silver,Premium,8,1056.049193
Site_4,47,Type_B,10527.89516,40.67784299,Small Business,Bronze,Premium,7,1056.608828
Site_5,12,Type_D,17965.37375,10.76975019,Mid-Market,Bronze,Standard,8,3124.742887
Site_6,25,Type_A,12098.1486,81.46698205,Small Business,Gold,Premium,3,3806.4168
Site_7,43,Type_A,19522.90142,92.10308378,Small Business,Bronze,Standard,2,1946.89854
Site_8,23,Type_B,7782.882736,76.04898301,Mid-Market,Gold,Compact,7,655.9281942
Site_9,27,Type_A,18029.34752,20.54217213,Small Business,Gold,Compact,8,1072.511991
Site_10,15,Type_B,16648.95279,96.53297333,Mid-Market,Bronze,Premium,1,4616.125522
Site_11,15,Type_D,16563.82767,41.71931649,Small Business,Gold,Standard,9,2720.946468
Site_12,28,Type_D,17671.74842,0.456248381,Enterprise,Silver,Premium,4,2541.077643
Site_13,40,Type_C,16415.35986,14.43039062,Enterprise,Silver,Premium,4,671.2213024
Site_14,44,Type_D,14393.30482,47.8554311,Small Business,Bronze,Standard,3,3778.8666
Site_15,28,Type_B,6968.673165,93.63590907,Enterprise,Silver,Premium,6,2876.306364
Site_16,7,Type_D,5487.892692,16.86264856,Mid-Market,Gold,Compact,1,1409.364212
Site_17,26,Type_C,18812.71772,40.10214918,Enterprise,Silver,Premium,6,995.3319208
Site_18,6,Type_A,14249.75472,88.50670029,Small Business,Bronze,Standard,2,2225.245386
Site_19,28,Type_B,16948.05936,90.61427152,Small Business,Bronze,Standard,9,4267.228839
Site_20,48,Type_A,12222.83527,9.037318056,Mid-Market,Gold,Compact,2,4393.825516
Site_21,34,Type_C,6759.622834,33.07997371,Small Business,Bronze,Standard,7,3212.808712
Site_22,42,Type_C,6877.786883,17.07132007,Mid-Market,Silver,Standard,1,3773.913923
Site_23,6,Type_C,15283.47931,12.10210997,Enterprise,Bronze,Compact,7,1018.201043
Site_24,25,Type_A,11454.58842,42.8227648,Enterprise,Gold,Premium,5,3146.567295
Site_25,37,Type_A,8007.870901,48.25536482,Mid-Market,Bronze,Compact,8,3501.345666
Site_26,16,Type_A,12373.9182,56.95725897,Mid-Market,Silver,Premium,4,1403.207793
Site_27,26,Type_A,5963.134056,68.30534122,Small Business,Gold,Compact,7,4460.696298
Site_28,48,Type_C,13729.57103,56.54040391,Enterprise,Silver,Premium,6,1377.485319
Site_29,29,Type_C,9034.901067,22.61203443,Mid-Market,Gold,Compact,5,1910.648119
Site_30,31,Type_B,16963.38651,39.8076569,Enterprise,Bronze,Premium,4,3292.505812
Site_31,46,Type_B,9655.429384,10.747671,Mid-Market,Gold,Compact,7,3372.575293
Site_32,32,Type_A,11828.30224,55.66199856,Enterprise,Gold,Premium,5,3647.231334
Site_33,20,Type_D,5174.308099,39.29104213,Small Business,Bronze,Compact,5,1004.052709
Site_34,19,Type_D,6086.703317,36.86924469,Enterprise,Silver,Standard,1,4322.589935
Site_35,48,Type_C,10887.40335,40.83028377,Enterprise,Bronze,Premium,2,2897.812095
Site_36,7,Type_C,12199.08252,29.73662269,Enterprise,Gold,Compact,5,2620.948073
Site_37,41,Type_C,14000.30822,76.25665316,Enterprise,Bronze,Premium,3,4914.93931
Site_38,11,Type_B,9374.938681,48.76362225,Enterprise,Gold,Premium,2,3831.702336
Site_39,25,Type_B,15424.72829,89.57751972,Small Business,Bronze,Compact,4,1031.02712
Site_40,13,Type_C,17901.83596,61.54886724,Mid-Market,Bronze,Premium,4,3904.426253
Site_41,43,Type_C,16697.76483,51.23329314,Enterprise,Silver,Compact,4,928.6202029
Site_42,22,Type_C,5594.28238,34.77757405,Small Business,Gold,Standard,4,623.6175313
Site_43,8,Type_D,12207.60421,4.946894741,Enterprise,Silver,Premium,3,2316.316529
Site_44,29,Type_B,6573.952676,39.93489335,Enterprise,Gold,Standard,7,4971.101778
Site_45,18,Type_D,8630.675238,25.64060838,Mid-Market,Bronze,Premium,9,1286.977713
Site_46,13,Type_D,19799.9389,49.37339405,Enterprise,Gold,Premium,5,3526.899546
Site_47,30,Type_C,7137.433144,36.58959686,Small Business,Silver,Premium,4,1280.282298
Site_48,6,Type_C,12483.3223,92.90677839,Small Business,Silver,Compact,2,3761.541387
Site_49,24,Type_A,14272.33601,74.56084192,Mid-Market,Silver,Standard,2,2774.091507
Site_50,32,Type_A,15536.97456,63.81469068,Enterprise,Gold,Premium,5,3559.872695
Site_51,11,Type_D,13394.73025,52.7506645,Small Business,Silver,Compact,7,1412.929292
Site_52,48,Type_B,5146.562711,95.43512545,Enterprise,Silver,Premium,9,3855.327496
Site_53,12,Type_C,9896.919624,85.99759024,Enterprise,Silver,Compact,7,4980.285768
Site_54,39,Type_C,12765.67465,72.31856922,Enterprise,Bronze,Premium,5,3495.427253
Site_55,18,Type_D,6317.997487,2.84673091,Mid-Market,Bronze,Standard,6,2720.659991
Site_56,21,Type_A,10259.40397,66.86529929,Enterprise,Gold,Standard,3,4654.282949
Site_57,40,Type_B,5498.046632,51.79589419,Small Business,Gold,Premium,5,571.33329
Site_58,44,Type_A,6178.677457,80.39022873,Enterprise,Silver,Compact,8,3784.655837
Site_59,8,Type_A,10953.84914,38.92199289,Small Business,Bronze,Premium,1,4499.359326
Site_60,6,Type_A,6990.736311,71.93167845,Enterprise,Silver,Compact,1,777.5356263
Site_61,10,Type_A,13513.11272,79.30074216,Small Business,Silver,Premium,7,2525.288767
Site_62,46,Type_C,15341.97454,48.34273716,Small Business,Bronze,Compact,5,1421.237543
Site_63,8,Type_C,17008.80049,99.44942008,Enterprise,Bronze,Standard,5,3049.331745
Site_64,33,Type_A,8002.253664,99.23359674,Enterprise,Bronze,Premium,1,3422.943314
Site_65,22,Type_B,7512.238734,78.09311909,Small Business,Gold,Standard,9,1861.804323
Site_66,30,Type_D,6568.517605,96.32786375,Mid-Market,Gold,Standard,1,2569.917514
Site_67,48,Type_B,14546.45374,89.19742459,Enterprise,Silver,Premium,5,1757.027684
Site_68,38,Type_B,15597.1359,66.11393507,Mid-Market,Gold,Premium,9,2162.26024
Site_69,14,Type_B,5473.792172,19.74143204,Enterprise,Bronze,Compact,4,1217.929805
Site_70,40,Type_A,19043.18369,42.79513566,Enterprise,Bronze,Compact,8,4485.017496
Site_71,18,Type_C,5779.569255,48.7332274,Enterprise,Gold,Standard,6,545.0468475
Site_72,35,Type_B,13119.44503,70.65111768,Enterprise,Silver,Compact,3,4470.841339
Site_73,19,Type_A,15635.90779,6.824628057,Mid-Market,Silver,Compact,4,3072.554953
Site_74,12,Type_B,18064.53686,60.29849588,Enterprise,Gold,Premium,2,1992.460299
Site_75,18,Type_B,15711.30398,91.29072332,Small Business,Silver,Compact,1,3753.757065
